'batch_access_key','collected','x_pos','y_pos','o2_pct','temp_c','pressure_mb','status'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:06',5.0,5.0,23.4,18.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:09',4.0,4.0,23.3,18.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:11',10.0,10.0,23.4,18.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:14',12.0,10.0,23.2,18.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:16',14.0,10.0,23.1,18.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:19',16.0,10.0,23.2,18.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:21',18.0,10.0,23.0,19.0,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:24',20.0,10.0,22.8,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:26',22.0,10.0,22.9,19.0,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:29',24.0,10.0,22.8,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:31',10.0,12.0,22.7,19.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:34',12.0,12.0,22.7,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:36',14.0,12.0,22.6,19.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:39',16.0,12.0,22.7,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:41',18.0,12.0,22.5,19.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:44',20.0,12.0,22.5,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:46',22.0,12.0,22.4,19.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:49',24.0,12.0,22.2,19.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:51',10.0,14.0,22.3,19.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:54',12.0,14.0,22.2,19.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:56',14.0,14.0,22.1,19.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:39:59',16.0,14.0,22.2,19.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:01',18.0,14.0,22.0,19.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:04',20.0,14.0,22.1,19.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:06',22.0,14.0,22.0,19.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:09',24.0,14.0,21.9,19.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:11',10.0,16.0,21.7,19.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:14',12.0,16.0,21.9,19.4,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:16',14.0,16.0,21.9,19.4,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:19',16.0,16.0,21.8,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:21',18.0,16.0,21.6,19.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:24',20.0,16.0,21.5,19.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:26',22.0,16.0,21.4,19.8,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:29',24.0,16.0,21.4,19.6,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:32',10.0,18.0,21.5,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:34',12.0,18.0,21.5,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:37',14.0,18.0,21.4,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:39',16.0,18.0,21.4,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:42',18.0,18.0,21.2,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:44',20.0,18.0,21.2,19.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:47',22.0,18.0,21.1,19.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:49',24.0,18.0,21.3,18.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:52',10.0,20.0,21.1,19.3,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:54',12.0,20.0,21.1,19.1,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:57',14.0,20.0,21.0,19.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:40:59',16.0,20.0,21.0,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:02',18.0,20.0,21.0,19.1,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:04',20.0,20.0,20.9,19.4,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:07',22.0,20.0,20.9,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:09',24.0,20.0,20.9,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:12',5.0,35.0,20.9,19.2,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:14',4.0,34.0,21.0,18.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:17',10.0,40.0,20.8,19.0,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:19',12.0,40.0,20.8,19.1,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:22',14.0,40.0,20.8,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:24',16.0,40.0,20.7,19.2,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:27',18.0,40.0,20.8,18.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:29',20.0,40.0,20.7,19.0,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:32',22.0,40.0,20.8,18.8,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:34',24.0,40.0,20.7,18.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:37',10.0,42.0,20.7,18.9,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:39',12.0,42.0,20.7,18.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:42',14.0,42.0,20.7,19.0,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:44',16.0,42.0,20.7,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:47',18.0,42.0,20.6,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:49',20.0,42.0,20.7,18.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:52',22.0,42.0,20.7,19.0,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:55',24.0,42.0,20.8,18.8,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:41:57',10.0,44.0,20.7,18.9,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:00',12.0,44.0,20.6,19.0,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:02',14.0,44.0,20.6,19.3,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:05',16.0,44.0,20.8,18.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:07',18.0,44.0,20.6,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:10',20.0,44.0,20.7,18.9,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:12',22.0,44.0,20.8,18.6,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:15',24.0,44.0,20.7,19.1,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:17',10.0,46.0,20.8,18.7,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:20',12.0,46.0,20.6,19.0,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:22',14.0,46.0,20.6,18.9,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:25',16.0,46.0,20.7,18.9,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:27',18.0,46.0,20.7,18.8,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:30',20.0,46.0,20.7,18.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:32',22.0,46.0,20.6,18.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:35',24.0,46.0,20.6,18.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:37',10.0,48.0,20.5,18.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:40',12.0,48.0,20.6,18.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:42',14.0,48.0,20.7,18.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:45',16.0,48.0,20.6,18.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:47',18.0,48.0,20.8,18.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:50',20.0,48.0,20.6,18.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:52',22.0,48.0,20.7,18.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:55',24.0,48.0,20.6,18.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:42:57',10.0,50.0,20.7,18.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:00',12.0,50.0,20.9,18.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:02',14.0,50.0,21.1,17.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:05',16.0,50.0,21.0,18.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:07',18.0,50.0,21.2,17.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:10',20.0,50.0,21.1,18.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:13',22.0,50.0,21.3,17.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:15',24.0,50.0,21.2,18.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:18',35.0,35.0,21.4,17.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:20',34.0,34.0,21.5,17.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:23',40.0,40.0,21.7,17.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:25',42.0,40.0,21.5,18.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:28',44.0,40.0,21.8,17.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:30',46.0,40.0,21.7,17.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:33',48.0,40.0,21.8,17.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:35',50.0,40.0,22.0,17.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:38',52.0,40.0,22.1,17.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:40',54.0,40.0,22.1,17.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:43',40.0,42.0,21.9,17.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:45',42.0,42.0,22.3,17.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:48',44.0,42.0,22.2,17.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:50',46.0,42.0,22.6,16.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:53',48.0,42.0,22.6,17.0,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:55',50.0,42.0,22.3,17.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:43:58',52.0,42.0,22.7,17.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:00',54.0,42.0,22.5,17.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:03',40.0,44.0,23.2,16.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:05',42.0,44.0,23.3,16.4,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:08',44.0,44.0,23.1,17.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:10',46.0,44.0,23.1,17.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:13',48.0,44.0,23.2,17.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:15',50.0,44.0,23.2,17.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:18',52.0,44.0,23.8,16.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:20',54.0,44.0,23.9,16.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:23',40.0,46.0,24.3,16.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:26',42.0,46.0,24.1,16.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:28',44.0,46.0,24.8,15.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:31',46.0,46.0,24.8,15.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:33',48.0,46.0,25.1,15.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:36',50.0,46.0,25.2,15.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:38',52.0,46.0,24.9,16.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:41',54.0,46.0,25.9,14.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:43',40.0,48.0,26.0,14.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:46',42.0,48.0,26.2,14.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:48',44.0,48.0,26.6,14.4,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:51',46.0,48.0,26.3,14.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:53',48.0,48.0,27.0,14.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:56',50.0,48.0,27.3,14.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:44:58',52.0,48.0,27.7,13.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:01',54.0,48.0,27.4,14.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:03',40.0,50.0,28.3,13.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:06',42.0,50.0,28.1,14.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:08',44.0,50.0,29.0,12.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:11',46.0,50.0,29.8,11.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:13',48.0,50.0,29.3,13.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:16',50.0,50.0,29.6,12.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:18',52.0,50.0,29.8,12.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:21',54.0,50.0,29.6,13.5,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:23',5.0,35.0,29.8,13.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:26',4.0,34.0,30.3,12.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:28',40.0,10.0,30.0,13.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:31',42.0,10.0,30.6,12.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:33',44.0,10.0,30.6,12.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:36',46.0,10.0,30.9,12.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:38',48.0,10.0,31.2,11.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:41',50.0,10.0,31.3,12.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:44',52.0,10.0,31.4,12.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:46',54.0,10.0,30.9,13.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:49',40.0,12.0,32.4,10.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:45:51',42.0,12.0,32.3,11.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:25',44.0,12.0,23.0,18.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:28',46.0,12.0,23.1,18.7,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:30',48.0,12.0,23.0,19.0,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:33',50.0,12.0,22.9,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:35',52.0,12.0,23.1,18.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:38',54.0,12.0,23.0,19.0,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:40',40.0,14.0,22.9,19.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:43',42.0,14.0,22.9,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:45',44.0,14.0,23.0,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:48',46.0,14.0,23.3,18.6,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:50',48.0,14.0,23.1,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:53',50.0,14.0,23.1,18.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:55',52.0,14.0,23.0,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:46:58',54.0,14.0,23.1,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:00',40.0,16.0,23.2,19.0,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:03',42.0,16.0,23.1,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:05',44.0,16.0,23.1,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:08',46.0,16.0,23.2,18.9,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:10',48.0,16.0,23.0,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:13',50.0,16.0,23.0,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:15',52.0,16.0,23.0,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:18',54.0,16.0,23.1,19.3,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:20',40.0,18.0,23.0,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:23',42.0,18.0,23.0,19.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:25',44.0,18.0,23.1,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:28',46.0,18.0,23.1,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:30',48.0,18.0,23.1,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:33',50.0,18.0,23.1,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:36',52.0,18.0,23.1,19.1,1013.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:38',54.0,18.0,23.3,18.8,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:41',40.0,20.0,23.1,19.1,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:43',42.0,20.0,23.1,19.0,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:46',44.0,20.0,23.1,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:48',46.0,20.0,23.1,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:51',48.0,20.0,23.0,19.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:53',50.0,20.0,23.1,19.2,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:56',52.0,20.0,23.0,19.4,1014.0,'O2 Read Successful'
'dbfeed58b1c713402a52b4054d76dba6','2024-10-30 10:47:58',54.0,20.0,23.3,18.9,1014.0,'O2 Read Successful'
